doi,URL,Volume,Publication Number,Article Type,Version Number,Submission date,Prepub Checks With Authors,Author Revisions Received,Sent To Typesetters,Pdf Proofs To Authors,Published,Referee Report 1,Referee Report 2,Referee Report 3,Referee Report 4,Indexed,Referee Status,Article Length
10.12688/wellcomeopenres.10985.2,https://wellcomeopenresearch.org/articles/2-20/v2,2,20,RESEARCH_ARTICLE,2,21/04/2017,NA,NA,25/04/2017,26/04/2017,26/04/2017,05/04/2017,06/04/2017,19/04/2017,NA,19/04/2017,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11411.1,https://wellcomeopenresearch.org/articles/2-30/v1,2,30,RESEARCH_ARTICLE,1,11/04/2017,19/04/2017,NA,21/04/2017,24/04/2017,26/04/2017,05/05/2017,09/05/2017,08/06/2017,NA,09/05/2017,"A3, AR0, NA0",WC_OVER_8000
10.12688/wellcomeopenres.10535.2,https://wellcomeopenresearch.org/articles/2-14/v2,2,14,RESEARCH_ARTICLE,2,11/09/2017,NA,NA,04/10/2017,09/10/2017,11/10/2017,10/03/2017,10/04/2017,NA,NA,NA,"A0, AR0, NA2",WC_2500_8000
10.12688/wellcomeopenres.11594.1,https://wellcomeopenresearch.org/articles/2-32/v1,2,32,RESEARCH_ARTICLE,1,08/05/2017,10/05/2017,16/05/2017,16/05/2017,17/05/2017,19/05/2017,09/06/2017,12/06/2017,12/06/2017,NA,12/06/2017,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10038.3,https://wellcomeopenresearch.org/articles/1-19/v3,1,19,METHOD_ARTICLE,3,02/05/2017,NA,NA,03/05/2017,04/05/2017,05/05/2017,05/12/2016,05/12/2016,NA,NA,16/01/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.9917.1,https://wellcomeopenresearch.org/articles/1-17/v1,1,17,RESEARCH_ARTICLE,1,18/10/2016,20/10/2016,07/11/2016,09/11/2016,11/11/2016,17/11/2016,24/11/2016,05/12/2016,19/12/2016,NA,19/12/2016,"A1, AR2, NA0",WC_1000_2500
10.12688/wellcomeopenres.11715.1,https://wellcomeopenresearch.org/articles/2-38/v1,2,38,RESEARCH_ARTICLE,1,23/05/2017,25/05/2017,NA,30/05/2017,31/05/2017,06/06/2017,19/06/2017,30/06/2017,NA,NA,NA,"A1, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.10036.2,https://wellcomeopenresearch.org/articles/1-18/v2,1,18,RESEARCH_ARTICLE,2,12/06/2017,NA,NA,13/06/2017,14/06/2017,21/06/2017,14/12/2016,15/12/2016,16/12/2016,19/12/2016,16/12/2016,"A4, AR0, NA0",WC_OVER_8000
10.12688/wellcomeopenres.10004.1,https://wellcomeopenresearch.org/articles/1-14/v1,1,14,SOFTWARE_TOOLS,1,25/10/2016,27/10/2016,NA,03/11/2016,04/11/2016,15/11/2016,25/11/2016,28/11/2016,30/11/2016,NA,30/11/2016,"A2, AR1, NA0",WC_UPTO_1000
10.12688/wellcomeopenres.11246.2,https://wellcomeopenresearch.org/articles/2-23/v2,2,23,RESEARCH_ARTICLE,2,16/05/2017,NA,NA,17/05/2017,18/05/2017,18/05/2017,21/04/2017,09/05/2017,NA,NA,09/05/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.10415.2,https://wellcomeopenresearch.org/articles/2-3/v2,2,3,RESEARCH_ARTICLE,2,15/05/2017,NA,NA,17/05/2017,22/05/2017,23/05/2017,16/01/2017,23/01/2017,NA,NA,27/06/2017,"A2, AR0, NA0",WC_OVER_8000
